trial_id,condition,task_type,item_id,difficulty,temperature,extracted_answer,correct_answer,is_correct,answer_extracted,word_count,sentence_count,line_count,reasoning_steps,words_per_sentence,grounded_markers,bare_assertion_markers,specificity_ratio,n_violations,latency_seconds,output_tokens
9d848d30d30d731a,control,syllogisms,syl_01,easy,0.0,VALID,VALID,True,True,199,8,23,5,24.9,0,0,0.0,0,3.777,335
8664d0686527e087,control,syllogisms,syl_02,easy,0.0,INVALID,INVALID,True,True,208,11,27,0,18.9,0,0,0.0,0,3.052,340
e1c79863c94d6f93,control,syllogisms,syl_03,medium,0.0,VALID,VALID,True,True,203,19,23,5,10.7,2,0,1.0,0,3.082,371
a912a46aa564472d,control,syllogisms,syl_04,medium,0.0,INVALID,INVALID,True,True,217,8,30,3,27.1,1,0,1.0,0,3.535,430
522abb6148a3964e,control,syllogisms,syl_05,medium,0.0,VALID,VALID,True,True,178,9,28,12,19.8,1,0,1.0,0,2.714,368
641372b1630bc87f,control,syllogisms,syl_06,hard,0.0,INVALID,INVALID,True,True,236,16,24,2,14.8,2,0,1.0,0,3.481,358
89eca8345ecafdbc,control,syllogisms,syl_07,hard,0.0,VALID,VALID,True,True,185,6,28,8,30.8,0,0,0.0,0,3.554,383
ae2fe178bb6567ac,control,syllogisms,syl_08,hard,0.0,INVALID,INVALID,True,True,199,22,22,6,9.0,1,0,1.0,0,3.135,351
d224fcd0444b2c24,control,syllogisms,syl_09,hard,0.0,VALID,VALID,True,True,199,7,31,8,28.4,3,0,1.0,0,2.796,363
303f54d0602bbccb,control,syllogisms,syl_10,hard,0.0,INVALID,INVALID,True,True,226,13,22,3,17.4,0,0,0.0,0,3.718,381
3d0ad47b59b73fcc,control,syllogisms,syl_11,easy,0.0,VALID,VALID,True,True,177,4,23,5,44.2,1,0,1.0,0,2.627,324
2ecb5c13da1f6ad9,control,syllogisms,syl_12,medium,0.0,VALID,VALID,True,True,218,19,23,12,11.5,1,0,1.0,0,3.178,343
5ada0ac99cf0deed,control,syllogisms,syl_13,hard,0.0,VALID,VALID,True,True,187,10,27,8,18.7,0,0,0.0,0,3.659,327
8217bdfd7610725c,control,syllogisms,syl_14,hard,0.0,VALID,VALID,True,True,234,9,29,6,26.0,1,0,1.0,0,3.811,415
87a03f7ae0f33b5e,control,syllogisms,syl_15,medium,0.0,INVALID,INVALID,True,True,247,12,31,1,20.6,1,0,1.0,0,3.763,434
b992497332d190cc,control,syllogisms,syl_16,hard,0.0,VALID,VALID,True,True,207,9,23,11,23.0,10,0,1.0,0,3.364,351
f204232de15e4b36,control,syllogisms,syl_17,medium,0.0,VALID,VALID,True,True,209,7,30,11,29.9,1,0,1.0,0,3.177,404
c7213edb94079812,control,syllogisms,syl_18,hard,0.0,VALID,VALID,True,True,192,11,27,8,17.5,2,0,1.0,0,2.669,347
46c81ed11fad634c,control,syllogisms,syl_19,medium,0.0,VALID,VALID,True,True,213,13,24,9,16.4,1,0,1.0,0,2.694,356
1af1227e55a783f5,control,syllogisms,syl_20,hard,0.0,VALID,VALID,True,True,220,10,25,9,22.0,2,0,1.0,0,3.248,358
c9e0ab54dd1fc6c8,control,causal_reasoning,cau_01,easy,0.0,B,B,True,True,245,23,19,0,10.7,0,0,0.0,0,6.477,400
e58152b361f53632,control,causal_reasoning,cau_02,medium,0.0,A,A,True,True,276,13,25,0,21.2,1,0,1.0,0,5.582,448
6cf7881322d53b58,control,causal_reasoning,cau_03,medium,0.0,A,A,True,True,279,12,37,2,23.2,3,0,1.0,0,5.832,549
260b437a72885e3a,control,causal_reasoning,cau_04,hard,0.0,B,B,True,True,269,6,34,1,44.8,3,0,1.0,0,5.37,482
dd29a706ddc8e41a,control,causal_reasoning,cau_05,easy,0.0,B,B,True,True,264,3,32,0,88.0,5,0,1.0,0,4.355,408
4ea12217934a835a,control,causal_reasoning,cau_06,hard,0.0,C,C,True,True,317,14,36,0,22.6,1,0,1.0,0,6.21,564
b4415c68c97a0f3d,control,causal_reasoning,cau_07,medium,0.0,A,A,True,True,261,15,23,5,17.4,1,0,1.0,0,5.017,448
68a5ce3f71aa8595,control,causal_reasoning,cau_08,hard,0.0,A,A,True,True,323,23,24,1,14.0,2,0,1.0,0,6.095,522
414c229293961546,control,causal_reasoning,cau_09,medium,0.0,B,B,True,True,314,10,39,1,31.4,0,0,0.0,0,6.526,545
ae04aecf0afbb1c7,control,causal_reasoning,cau_10,hard,0.0,B,B,True,True,321,18,33,1,17.8,2,0,1.0,0,6.409,532
72890b0c2d8cdef8,control,causal_reasoning,cau_11,easy,0.0,B,B,True,True,243,2,31,1,121.5,2,0,1.0,0,4.615,405
14828c9db682808c,control,causal_reasoning,cau_12,medium,0.0,A,A,True,True,241,10,29,2,24.1,5,0,1.0,0,5.377,439
a5966a23bb573e6a,control,causal_reasoning,cau_13,hard,0.0,A,A,True,True,312,14,35,2,22.3,0,0,0.0,0,6.554,522
4d989cf0b21dd67c,control,causal_reasoning,cau_14,medium,0.0,A,A,True,True,270,8,27,0,33.8,1,0,1.0,0,5.222,433
4a01ab4840d8b98a,control,causal_reasoning,cau_15,hard,0.0,A,A,True,True,277,15,24,1,18.5,1,0,1.0,0,6.898,469
879957891f1e3340,e_prime,syllogisms,syl_01,easy,0.0,VALID,VALID,True,True,205,5,25,6,41.0,1,0,1.0,0,3.525,355
0d626177a50cf8b6,e_prime,syllogisms,syl_02,easy,0.0,INVALID,INVALID,True,True,275,14,24,0,19.6,0,0,0.0,8,4.216,401
61fdae5c9f04d2b1,e_prime,syllogisms,syl_03,medium,0.0,VALID,VALID,True,True,207,13,22,4,15.9,0,0,0.0,4,3.1,318
c6f3b898905b02af,e_prime,syllogisms,syl_04,medium,0.0,INVALID,INVALID,True,True,274,12,26,4,22.8,0,0,0.0,0,4.941,487
2cbcc9854e9eb5d5,e_prime,syllogisms,syl_05,medium,0.0,VALID,VALID,True,True,211,10,24,8,21.1,1,0,1.0,1,3.506,378
b966d3de5b70def2,e_prime,syllogisms,syl_06,hard,0.0,INVALID,INVALID,True,True,284,11,30,6,25.8,0,0,0.0,3,4.665,478
6d2345f7da745eef,e_prime,syllogisms,syl_07,hard,0.0,VALID,VALID,True,True,231,7,24,7,33.0,1,0,1.0,0,3.467,407
1e9fdd7f6b660948,e_prime,syllogisms,syl_08,hard,0.0,INVALID,INVALID,True,True,267,15,28,3,17.8,1,0,1.0,0,4.557,440
67fad0789a264859,e_prime,syllogisms,syl_09,hard,0.0,VALID,VALID,True,True,247,11,24,9,22.5,1,0,1.0,5,3.729,421
3eb6836cdc875400,e_prime,syllogisms,syl_10,hard,0.0,INVALID,INVALID,True,True,239,16,27,7,14.9,0,0,0.0,2,4.082,443
fdc9bf5c7a0583f9,e_prime,syllogisms,syl_11,easy,0.0,VALID,VALID,True,True,189,8,29,7,23.6,1,0,1.0,0,3.345,350
3c0673d281e72443,e_prime,syllogisms,syl_12,medium,0.0,VALID,VALID,True,True,235,11,21,10,21.4,1,0,1.0,3,4.406,400
a49f867cf7eab1dd,e_prime,syllogisms,syl_13,hard,0.0,VALID,VALID,True,True,206,11,22,9,18.7,0,0,0.0,0,3.319,356
2edf12e079190529,e_prime,syllogisms,syl_14,hard,0.0,VALID,VALID,True,True,228,5,25,7,45.6,0,0,0.0,3,3.528,430
f78a8dd824ab1215,e_prime,syllogisms,syl_15,medium,0.0,INVALID,INVALID,True,True,240,13,24,3,18.5,1,0,1.0,7,3.449,413
dcf581a4ac062c9b,e_prime,syllogisms,syl_16,hard,0.0,VALID,VALID,True,True,255,11,27,11,23.2,12,0,1.0,0,4.194,439
3aadca7878ca59e4,e_prime,syllogisms,syl_17,medium,0.0,VALID,VALID,True,True,226,9,25,10,25.1,0,0,0.0,3,3.996,420
d42c3510b98043b4,e_prime,syllogisms,syl_18,hard,0.0,VALID,VALID,True,True,229,6,31,6,38.2,0,0,0.0,2,4.104,417
057cd36fb96d80cd,e_prime,syllogisms,syl_19,medium,0.0,VALID,VALID,True,True,230,10,21,10,23.0,0,0,0.0,3,3.499,382
edf3800dc9458306,e_prime,syllogisms,syl_20,hard,0.0,INVALID,VALID,False,True,285,16,27,5,17.8,0,0,0.0,4,4.75,462
28155a6cfeb190e9,e_prime,causal_reasoning,cau_01,easy,0.0,B,B,True,True,294,15,16,0,19.6,2,0,1.0,1,5.877,415
b17e48240476bf3d,e_prime,causal_reasoning,cau_02,medium,0.0,,A,,False,342,27,22,1,12.7,1,0,1.0,0,6.996,516
530e8ba93f91e761,e_prime,causal_reasoning,cau_03,medium,0.0,A,A,True,True,297,21,26,1,14.1,0,0,0.0,1,6.004,514
388e77189be4a296,e_prime,causal_reasoning,cau_04,hard,0.0,B,B,True,True,285,19,21,1,15.0,2,0,1.0,1,5.599,443
383535179a47e9de,e_prime,causal_reasoning,cau_05,easy,0.0,B,B,True,True,216,17,21,0,12.7,0,0,0.0,0,6.879,334
fde7f91b5546a3ea,e_prime,causal_reasoning,cau_06,hard,0.0,,C,,False,313,24,20,0,13.0,1,0,1.0,0,6.003,473
0a0d776f92e97704,e_prime,causal_reasoning,cau_07,medium,0.0,A,A,True,True,289,19,18,4,15.2,4,0,1.0,0,5.262,433
9ee4659a2b03edec,e_prime,causal_reasoning,cau_08,hard,0.0,A,A,True,True,335,24,22,1,14.0,3,0,1.0,0,6.754,523
b26bc07b0a730160,e_prime,causal_reasoning,cau_09,medium,0.0,B,B,True,True,383,29,30,0,13.2,2,0,1.0,0,6.828,562
de9f85a361d5f96e,e_prime,causal_reasoning,cau_10,hard,0.0,B,B,True,True,350,21,25,3,16.7,4,0,1.0,0,7.055,556
0c902a4647ce24b7,e_prime,causal_reasoning,cau_11,easy,0.0,B,B,True,True,238,12,16,0,19.8,3,0,1.0,0,4.548,371
a7667f64df3fe026,e_prime,causal_reasoning,cau_12,medium,0.0,A,A,True,True,319,20,27,7,15.9,0,0,0.0,0,5.965,518
bfe823483f476387,e_prime,causal_reasoning,cau_13,hard,0.0,A,A,True,True,327,13,20,1,25.2,4,0,1.0,0,6.069,474
50dbc6c03da54402,e_prime,causal_reasoning,cau_14,medium,0.0,A,A,True,True,330,20,22,3,16.5,5,0,1.0,0,5.703,463
f9f7cfb87ae45705,e_prime,causal_reasoning,cau_15,hard,0.0,A,A,True,True,302,9,24,0,33.6,2,0,1.0,1,6.399,463
